ts,row_index,level,stage,idsbr,nama,match_value,note,screenshot
20251230_120210,3,OK,OPEN_TAB,97516604,"AYUMI CIPTA SARANA, CV",97516604,Tab form baru terdeteksi (event page).,
20251230_120230,3,OK,FILL,97516604,"AYUMI CIPTA SARANA, CV",97516604,"Form terisi (update=9, skip=9)",
20251230_120235,3,OK,SUBMIT,97516604,"AYUMI CIPTA SARANA, CV",97516604,Submit final sukses,
20251230_120236,3,OK,ROW_DONE,97516604,"AYUMI CIPTA SARANA, CV",97516604,Baris selesai diproses,
20251230_120242,4,OK,OPEN_TAB,97516605,KOPERASI BERKAH SEJATI,97516605,Tab form baru terdeteksi (event page).,
20251230_120301,4,OK,FILL,97516605,KOPERASI BERKAH SEJATI,97516605,"Form terisi (update=9, skip=9)",
20251230_120306,4,OK,SUBMIT,97516605,KOPERASI BERKAH SEJATI,97516605,Submit final sukses,
20251230_120307,4,OK,ROW_DONE,97516605,KOPERASI BERKAH SEJATI,97516605,Baris selesai diproses,
