ts,row_index,level,stage,idsbr,nama,match_value,note,screenshot
20251211_155356,1,ERROR,OPEN_TAB,97516601,"KONTRAKTOR AZRIN ZABUR, CV",97516601,"Tidak ada tab form: TimeoutError: Timeout 6000ms exceeded while waiting for event ""page"" | URL tidak berubah",C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\screenshots\2025-12-11\20251211_155354_no_new_tab_1.png
20251211_155416,2,OK,OPEN_TAB,97516602,KOPERASI SERBA USAHA,97516602,Tab form baru terdeteksi (event page).,
20251211_155417,2,OK,FINAL_SKIP,97516602,KOPERASI SERBA USAHA,97516602,CODE:FINAL_ALREADY_SUBMITTED Dilewati: form sudah final (tombol Cancel Submit terlihat).,
20251211_155429,3,OK,OPEN_TAB,97516604,"AYUMI CIPTA SARANA, CV",97516604,Tab form baru terdeteksi (event page).,
20251211_155430,3,OK,FINAL_SKIP,97516604,"AYUMI CIPTA SARANA, CV",97516604,CODE:FINAL_ALREADY_SUBMITTED Dilewati: form sudah final (tombol Cancel Submit terlihat).,
20251211_155440,4,OK,OPEN_TAB,97516605,KOPERASI BERKAH SEJATI,97516605,Tab form baru terdeteksi (event page).,
20251211_155440,4,OK,FINAL_SKIP,97516605,KOPERASI BERKAH SEJATI,97516605,CODE:FINAL_ALREADY_SUBMITTED Dilewati: form sudah final (tombol Cancel Submit terlihat).,
20251211_155457,5,OK,OPEN_TAB,97516614,SETIA KAWAN UD,97516614,Tab form baru terdeteksi (event page).,
20251211_155523,5,OK,FILL,97516614,SETIA KAWAN UD,97516614,"Form terisi (update=9, skip=9)",
20251211_155531,5,OK,SUBMIT,97516614,SETIA KAWAN UD,97516614,Submit final sukses,
20251211_155532,5,OK,ROW_DONE,97516614,SETIA KAWAN UD,97516614,Baris selesai diproses,
20251211_155542,6,OK,OPEN_TAB,97516615,TRAVEL(ASDIN SATRIA),97516615,Tab form baru terdeteksi (event page).,
20251211_155608,6,OK,FILL,97516615,TRAVEL(ASDIN SATRIA),97516615,"Form terisi (update=9, skip=9)",
20251211_155615,6,OK,SUBMIT,97516615,TRAVEL(ASDIN SATRIA),97516615,Submit final sukses,
20251211_155616,6,OK,ROW_DONE,97516615,TRAVEL(ASDIN SATRIA),97516615,Baris selesai diproses,
20251211_155625,7,OK,OPEN_TAB,97516609,TOKO FURNITURE (SAKARIA),97516609,Tab form baru terdeteksi (event page).,
20251211_155625,7,OK,FINAL_SKIP,97516609,TOKO FURNITURE (SAKARIA),97516609,CODE:FINAL_ALREADY_SUBMITTED Dilewati: form sudah final (tombol Cancel Submit terlihat).,
20251211_155636,8,OK,OPEN_TAB,97516610,"ARWAN, UD",97516610,Tab form baru terdeteksi (event page).,
20251211_155637,8,OK,FINAL_SKIP,97516610,"ARWAN, UD",97516610,CODE:FINAL_ALREADY_SUBMITTED Dilewati: form sudah final (tombol Cancel Submit terlihat).,
20251211_155651,9,OK,OPEN_TAB,97516606,KONSULTAN SURYA ABADI PT,97516606,Tab form baru terdeteksi (event page).,
20251211_155652,9,OK,FINAL_SKIP,97516606,KONSULTAN SURYA ABADI PT,97516606,CODE:FINAL_ALREADY_SUBMITTED Dilewati: form sudah final (tombol Cancel Submit terlihat).,
20251211_155709,10,ERROR,OPEN_TAB,97516607,KARAOKE KELUARGA (ACO),97516607,"Tidak ada tab form: TimeoutError: Timeout 6000ms exceeded while waiting for event ""page"" | URL tidak berubah",C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\screenshots\2025-12-11\20251211_155708_no_new_tab_10.png
20251211_155734,11,OK,OPEN_TAB,97516598,KLINIK KERATON CARE CENTER (WAYAN),97516598,Tab form baru terdeteksi (event page).,
20251211_155801,11,OK,FILL,97516598,KLINIK KERATON CARE CENTER (WAYAN),97516598,"Form terisi (update=9, skip=9)",
