ts,row_index,level,stage,idsbr,nama,match_value,note,screenshot
20251211_161627,11,OK,OPEN_TAB,97516598,KLINIK KERATON CARE CENTER (WAYAN),97516598,Tab form baru terdeteksi (event page).,
20251211_161628,11,OK,FINAL_SKIP,97516598,KLINIK KERATON CARE CENTER (WAYAN),97516598,CODE:FINAL_ALREADY_SUBMITTED Dilewati: form sudah final (tombol Cancel Submit terlihat).,
20251211_161645,12,OK,OPEN_TAB,97516600,"KONTRAKTOR SALURAN IRIGASI NUR ADEN, CV",97516600,Tab form baru terdeteksi (event page).,
20251211_161645,12,OK,FINAL_SKIP,97516600,"KONTRAKTOR SALURAN IRIGASI NUR ADEN, CV",97516600,CODE:FINAL_ALREADY_SUBMITTED Dilewati: form sudah final (tombol Cancel Submit terlihat).,
20251211_161658,13,OK,OPEN_TAB,97516608,PEDAGANG SPRING BED (SAKARIA),97516608,Tab form baru terdeteksi (event page).,
20251211_161659,13,OK,FINAL_SKIP,97516608,PEDAGANG SPRING BED (SAKARIA),97516608,CODE:FINAL_ALREADY_SUBMITTED Dilewati: form sudah final (tombol Cancel Submit terlihat).,
20251211_161707,14,OK,OPEN_TAB,97516623,"ALIF SAPUTRA, CV",97516623,Tab form baru terdeteksi (event page).,
20251211_161708,14,OK,FINAL_SKIP,97516623,"ALIF SAPUTRA, CV",97516623,CODE:FINAL_ALREADY_SUBMITTED Dilewati: form sudah final (tombol Cancel Submit terlihat).,
20251211_161718,15,OK,OPEN_TAB,97516627,INDUSTRI PANDAI BESI <KAMALUDIN>,97516627,Tab form baru terdeteksi (event page).,
20251211_161719,15,OK,FINAL_SKIP,97516627,INDUSTRI PANDAI BESI <KAMALUDIN>,97516627,CODE:FINAL_ALREADY_SUBMITTED Dilewati: form sudah final (tombol Cancel Submit terlihat).,
20251211_161728,16,OK,OPEN_TAB,97516611,TK ISLAM INSAN CITA,97516611,Tab form baru terdeteksi (event page).,
20251211_161729,16,OK,FINAL_SKIP,97516611,TK ISLAM INSAN CITA,97516611,CODE:FINAL_ALREADY_SUBMITTED Dilewati: form sudah final (tombol Cancel Submit terlihat).,
20251211_161744,17,ERROR,OPEN_TAB,97516628,UPK PNPM MANDIRI PERDESAAN <RISWAN,97516628,"Tidak ada tab form: TimeoutError: Timeout 6000ms exceeded while waiting for event ""page"" | URL tidak berubah",C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\otomatisasisbr-6502\artifacts\screenshots\2025-12-11\20251211_161743_no_new_tab_17.png
