ts,row_index,level,stage,idsbr,nama,match_value,note,screenshot
20251210_162618,90,OK,OPEN_TAB,13408919,INDUSTRI PENGOLAHAN KOPRA <HARIANA> <HARIANA>,13408919,Tab form baru terdeteksi (event page).,
20251210_162618,90,OK,FINAL_SKIP,13408919,INDUSTRI PENGOLAHAN KOPRA <HARIANA> <HARIANA>,13408919,CODE:FINAL_ALREADY_SUBMITTED Dilewati: form sudah final (tombol Cancel Submit terlihat).,
20251210_162626,91,OK,OPEN_TAB,15976789,USAHA MEMBUAT KUE <WA ODE NURLIAN> <WA ODE NURLIAN>,15976789,Tab form baru terdeteksi (event page).,
20251210_162645,91,OK,FILL,15976789,USAHA MEMBUAT KUE <WA ODE NURLIAN> <WA ODE NURLIAN>,15976789,"Form terisi (update=9, skip=9)",
20251210_162651,91,OK,SUBMIT,15976789,USAHA MEMBUAT KUE <WA ODE NURLIAN> <WA ODE NURLIAN>,15976789,Submit final sukses,
20251210_162652,91,OK,ROW_DONE,15976789,USAHA MEMBUAT KUE <WA ODE NURLIAN> <WA ODE NURLIAN>,15976789,Baris selesai diproses,
20251210_162659,92,OK,OPEN_TAB,14028689,PERDAGANGAN ECERAN SEMBAKO <RASID> <ILHAM>,14028689,Tab form baru terdeteksi (event page).,
20251210_162718,92,OK,FILL,14028689,PERDAGANGAN ECERAN SEMBAKO <RASID> <ILHAM>,14028689,"Form terisi (update=9, skip=9)",
20251210_162723,92,OK,SUBMIT,14028689,PERDAGANGAN ECERAN SEMBAKO <RASID> <ILHAM>,14028689,Submit final sukses,
20251210_162724,92,OK,ROW_DONE,14028689,PERDAGANGAN ECERAN SEMBAKO <RASID> <ILHAM>,14028689,Baris selesai diproses,
20251210_162732,93,OK,OPEN_TAB,16000332,USAHA MEMBUAT KUE KERING <NURHIJA> <NURHIJA>,16000332,Tab form baru terdeteksi (event page).,
20251210_162751,93,OK,FILL,16000332,USAHA MEMBUAT KUE KERING <NURHIJA> <NURHIJA>,16000332,"Form terisi (update=9, skip=9)",
20251210_162756,93,OK,SUBMIT,16000332,USAHA MEMBUAT KUE KERING <NURHIJA> <NURHIJA>,16000332,Submit final sukses,
20251210_162757,93,OK,ROW_DONE,16000332,USAHA MEMBUAT KUE KERING <NURHIJA> <NURHIJA>,16000332,Baris selesai diproses,
20251210_162804,94,OK,OPEN_TAB,16027976,JUAL BELI SEMEN <SALMAN> <SALMAN>,16027976,Tab form baru terdeteksi (event page).,
20251210_162823,94,OK,FILL,16027976,JUAL BELI SEMEN <SALMAN> <SALMAN>,16027976,"Form terisi (update=9, skip=9)",
20251210_162827,94,OK,SUBMIT,16027976,JUAL BELI SEMEN <SALMAN> <SALMAN>,16027976,Submit final sukses,
20251210_162828,94,OK,ROW_DONE,16027976,JUAL BELI SEMEN <SALMAN> <SALMAN>,16027976,Baris selesai diproses,
20251210_162835,95,OK,OPEN_TAB,13427294,MEMBUAT KERIPIK PISANG <DUSLIA> <DUSLIA>,13427294,Tab form baru terdeteksi (event page).,
20251210_162854,95,OK,FILL,13427294,MEMBUAT KERIPIK PISANG <DUSLIA> <DUSLIA>,13427294,"Form terisi (update=9, skip=9)",
20251210_162901,95,OK,SUBMIT,13427294,MEMBUAT KERIPIK PISANG <DUSLIA> <DUSLIA>,13427294,Submit final sukses,
20251210_162902,95,OK,ROW_DONE,13427294,MEMBUAT KERIPIK PISANG <DUSLIA> <DUSLIA>,13427294,Baris selesai diproses,
