ts,row_index,level,stage,idsbr,nama,match_value,note,screenshot
20251210_151658,35,OK,OPEN_TAB,12981440,USAHA MEMBUAT KRIPIK PISANG <SABARIA> <SABARIA>,12981440,Tab form baru terdeteksi (event page).,
20251210_151659,35,OK,FINAL_SKIP,12981440,USAHA MEMBUAT KRIPIK PISANG <SABARIA> <SABARIA>,12981440,CODE:FINAL_ALREADY_SUBMITTED Dilewati: form sudah final (tombol Cancel Submit terlihat).,
20251210_151706,36,OK,OPEN_TAB,12981465,INDUSTRI PENGOLAHAN KOPRA <SABARIA> <SABARIA>,12981465,Tab form baru terdeteksi (event page).,
20251210_151707,36,OK,FINAL_SKIP,12981465,INDUSTRI PENGOLAHAN KOPRA <SABARIA> <SABARIA>,12981465,CODE:FINAL_ALREADY_SUBMITTED Dilewati: form sudah final (tombol Cancel Submit terlihat).,
20251210_151714,37,OK,OPEN_TAB,12294760,USAHA PENGOLAHAN KOPRA <ZAHARI> <ZAHARI>,12294760,Tab form baru terdeteksi (event page).,
20251210_151714,37,OK,FINAL_SKIP,12294760,USAHA PENGOLAHAN KOPRA <ZAHARI> <ZAHARI>,12294760,CODE:FINAL_ALREADY_SUBMITTED Dilewati: form sudah final (tombol Cancel Submit terlihat).,
20251210_151722,38,OK,OPEN_TAB,14455829,USAHA RENTAL MOBIL MOTOR LINTAS BUTUR <ILIAS>,14455829,Tab form baru terdeteksi (event page).,
20251210_151722,38,OK,FINAL_SKIP,14455829,USAHA RENTAL MOBIL MOTOR LINTAS BUTUR <ILIAS>,14455829,CODE:FINAL_ALREADY_SUBMITTED Dilewati: form sudah final (tombol Cancel Submit terlihat).,
20251210_151729,39,OK,OPEN_TAB,13582242,USAHA MEMBUAT MAKANAN JADI <SETIA> <SETIA>,13582242,Tab form baru terdeteksi (event page).,
20251210_151730,39,OK,FINAL_SKIP,13582242,USAHA MEMBUAT MAKANAN JADI <SETIA> <SETIA>,13582242,CODE:FINAL_ALREADY_SUBMITTED Dilewati: form sudah final (tombol Cancel Submit terlihat).,
20251210_151737,40,OK,OPEN_TAB,12620763,"""PENCUCIAN MOBIL MOTOR, RIZQ DOSMERING <ASWAN,S.Pi>""",12620763,Tab form baru terdeteksi (event page).,
20251210_151737,40,OK,FINAL_SKIP,12620763,"""PENCUCIAN MOBIL MOTOR, RIZQ DOSMERING <ASWAN,S.Pi>""",12620763,CODE:FINAL_ALREADY_SUBMITTED Dilewati: form sudah final (tombol Cancel Submit terlihat).,
20251210_151744,41,OK,OPEN_TAB,12855429,INDUSTRI KUE BASAH <ROSNI> <ROSNI>,12855429,Tab form baru terdeteksi (event page).,
20251210_151804,41,OK,FILL,12855429,INDUSTRI KUE BASAH <ROSNI> <ROSNI>,12855429,"Form terisi (update=9, skip=9)",
20251210_151809,41,OK,SUBMIT,12855429,INDUSTRI KUE BASAH <ROSNI> <ROSNI>,12855429,Submit final sukses,
20251210_151810,41,OK,ROW_DONE,12855429,INDUSTRI KUE BASAH <ROSNI> <ROSNI>,12855429,Baris selesai diproses,
20251210_151817,42,OK,OPEN_TAB,12620775,USAHA MEMBUAT KUE BASAH <ASWAN> <ASWAN>,12620775,Tab form baru terdeteksi (event page).,
20251210_151836,42,OK,FILL,12620775,USAHA MEMBUAT KUE BASAH <ASWAN> <ASWAN>,12620775,"Form terisi (update=9, skip=9)",
20251210_151842,42,OK,SUBMIT,12620775,USAHA MEMBUAT KUE BASAH <ASWAN> <ASWAN>,12620775,Submit final sukses,
20251210_151843,42,OK,ROW_DONE,12620775,USAHA MEMBUAT KUE BASAH <ASWAN> <ASWAN>,12620775,Baris selesai diproses,
20251210_151850,43,OK,OPEN_TAB,12316639,PERDAGANGAN ECERAN SEMBAKO <ZILFAN> <WA ODE ASNI>,12316639,Tab form baru terdeteksi (event page).,
20251210_151909,43,OK,FILL,12316639,PERDAGANGAN ECERAN SEMBAKO <ZILFAN> <WA ODE ASNI>,12316639,"Form terisi (update=9, skip=9)",
20251210_151914,43,OK,SUBMIT,12316639,PERDAGANGAN ECERAN SEMBAKO <ZILFAN> <WA ODE ASNI>,12316639,Submit final sukses,
20251210_151915,43,OK,ROW_DONE,12316639,PERDAGANGAN ECERAN SEMBAKO <ZILFAN> <WA ODE ASNI>,12316639,Baris selesai diproses,
20251210_151923,44,OK,OPEN_TAB,14480573,"""JUAL BELI BAHAN BANGUNAN, MATAOLEO JAYA <NASRULLAH>""",14480573,Tab form baru terdeteksi (event page).,
20251210_151942,44,OK,FILL,14480573,"""JUAL BELI BAHAN BANGUNAN, MATAOLEO JAYA <NASRULLAH>""",14480573,"Form terisi (update=9, skip=9)",
20251210_151948,44,OK,SUBMIT,14480573,"""JUAL BELI BAHAN BANGUNAN, MATAOLEO JAYA <NASRULLAH>""",14480573,Submit final sukses,
20251210_151949,44,OK,ROW_DONE,14480573,"""JUAL BELI BAHAN BANGUNAN, MATAOLEO JAYA <NASRULLAH>""",14480573,Baris selesai diproses,
20251210_151957,45,OK,OPEN_TAB,12867248,USAHA PENJUALAN SEMBAKO <INDORNI> <INDORNI>,12867248,Tab form baru terdeteksi (event page).,
20251210_152016,45,OK,FILL,12867248,USAHA PENJUALAN SEMBAKO <INDORNI> <INDORNI>,12867248,"Form terisi (update=9, skip=9)",
20251210_152022,45,OK,SUBMIT,12867248,USAHA PENJUALAN SEMBAKO <INDORNI> <INDORNI>,12867248,Submit final sukses,
20251210_152023,45,OK,ROW_DONE,12867248,USAHA PENJUALAN SEMBAKO <INDORNI> <INDORNI>,12867248,Baris selesai diproses,
20251210_152031,46,OK,OPEN_TAB,12524069,INDUSTRI PENGOLAHAN KOPRA <SAFIRUDIN> <SAFIRUDIN>,12524069,Tab form baru terdeteksi (event page).,
