ts,row_index,level,stage,idsbr,nama,match_value,note,screenshot
20251210_170425,140,OK,OPEN_TAB,30573657,Nurlia,30573657,Tab form baru terdeteksi (event page).,
20251210_170426,140,OK,FINAL_SKIP,30573657,Nurlia,30573657,CODE:FINAL_ALREADY_SUBMITTED Dilewati: form sudah final (tombol Cancel Submit terlihat).,
20251210_170433,141,OK,OPEN_TAB,28583131,ENI ENDRIANI,28583131,Tab form baru terdeteksi (event page).,
20251210_170452,141,OK,FILL,28583131,ENI ENDRIANI,28583131,"Form terisi (update=9, skip=9)",
20251210_170457,141,OK,SUBMIT,28583131,ENI ENDRIANI,28583131,Submit final sukses,
20251210_170458,141,OK,ROW_DONE,28583131,ENI ENDRIANI,28583131,Baris selesai diproses,
20251210_170505,142,OK,OPEN_TAB,26178860,Sarlina,26178860,Tab form baru terdeteksi (event page).,
20251210_170524,142,OK,FILL,26178860,Sarlina,26178860,"Form terisi (update=9, skip=9)",
20251210_170528,142,OK,SUBMIT,26178860,Sarlina,26178860,Submit final sukses,
20251210_170529,142,OK,ROW_DONE,26178860,Sarlina,26178860,Baris selesai diproses,
20251210_170536,143,OK,OPEN_TAB,18361295,MANDIRI SEJATERA SENTOSA,18361295,Tab form baru terdeteksi (event page).,
20251210_170554,143,OK,FILL,18361295,MANDIRI SEJATERA SENTOSA,18361295,"Form terisi (update=9, skip=9)",
20251210_170559,143,OK,SUBMIT,18361295,MANDIRI SEJATERA SENTOSA,18361295,Submit final sukses,
20251210_170600,143,OK,ROW_DONE,18361295,MANDIRI SEJATERA SENTOSA,18361295,Baris selesai diproses,
20251210_170607,144,OK,OPEN_TAB,29617661,FERI CANDRA,29617661,Tab form baru terdeteksi (event page).,
20251210_170626,144,OK,FILL,29617661,FERI CANDRA,29617661,"Form terisi (update=9, skip=9)",
20251210_170631,144,OK,SUBMIT,29617661,FERI CANDRA,29617661,Submit final sukses,
20251210_170632,144,OK,ROW_DONE,29617661,FERI CANDRA,29617661,Baris selesai diproses,
20251210_170639,145,OK,OPEN_TAB,29206313,WA ODE EVIT SAMSIAR,29206313,Tab form baru terdeteksi (event page).,
20251210_170658,145,OK,FILL,29206313,WA ODE EVIT SAMSIAR,29206313,"Form terisi (update=9, skip=9)",
20251210_170702,145,OK,SUBMIT,29206313,WA ODE EVIT SAMSIAR,29206313,Submit final sukses,
20251210_170703,145,OK,ROW_DONE,29206313,WA ODE EVIT SAMSIAR,29206313,Baris selesai diproses,
20251210_170710,146,OK,OPEN_TAB,30573630,Yuyukfaturrahim,30573630,Tab form baru terdeteksi (event page).,
20251210_170729,146,OK,FILL,30573630,Yuyukfaturrahim,30573630,"Form terisi (update=9, skip=9)",
20251210_170734,146,OK,SUBMIT,30573630,Yuyukfaturrahim,30573630,Submit final sukses,
20251210_170735,146,OK,ROW_DONE,30573630,Yuyukfaturrahim,30573630,Baris selesai diproses,
20251210_170742,147,OK,OPEN_TAB,26424843,Sulfia,26424843,Tab form baru terdeteksi (event page).,
20251210_170801,147,OK,FILL,26424843,Sulfia,26424843,"Form terisi (update=9, skip=9)",
20251210_170805,147,OK,SUBMIT,26424843,Sulfia,26424843,Submit final sukses,
20251210_170806,147,OK,ROW_DONE,26424843,Sulfia,26424843,Baris selesai diproses,
20251210_170813,148,OK,OPEN_TAB,29345022,NURWIANA,29345022,Tab form baru terdeteksi (event page).,
20251210_170832,148,OK,FILL,29345022,NURWIANA,29345022,"Form terisi (update=9, skip=9)",
20251210_170837,148,OK,SUBMIT,29345022,NURWIANA,29345022,Submit final sukses,
20251210_170837,148,OK,ROW_DONE,29345022,NURWIANA,29345022,Baris selesai diproses,
20251210_170844,149,OK,OPEN_TAB,28150954,SUGIANTI,28150954,Tab form baru terdeteksi (event page).,
20251210_170903,149,OK,FILL,28150954,SUGIANTI,28150954,"Form terisi (update=9, skip=9)",
20251210_170908,149,OK,SUBMIT,28150954,SUGIANTI,28150954,Submit final sukses,
20251210_170908,149,OK,ROW_DONE,28150954,SUGIANTI,28150954,Baris selesai diproses,
