ts,row_index,level,stage,idsbr,nama,match_value,note,screenshot
20251210_103754,37,OK,OPEN_TAB,12294760,USAHA PENGOLAHAN KOPRA <ZAHARI> <ZAHARI>,12294760,Tab form baru terdeteksi (event page).,
20251210_103754,37,OK,FINAL_SKIP,12294760,USAHA PENGOLAHAN KOPRA <ZAHARI> <ZAHARI>,12294760,CODE:FINAL_ALREADY_SUBMITTED Dilewati: form sudah final (tombol Cancel Submit terlihat).,
20251210_103803,38,OK,OPEN_TAB,14455829,USAHA RENTAL MOBIL MOTOR LINTAS BUTUR <ILIAS>,14455829,Tab form baru terdeteksi (event page).,
20251210_103803,38,OK,FINAL_SKIP,14455829,USAHA RENTAL MOBIL MOTOR LINTAS BUTUR <ILIAS>,14455829,CODE:FINAL_ALREADY_SUBMITTED Dilewati: form sudah final (tombol Cancel Submit terlihat).,
20251210_103812,39,OK,OPEN_TAB,13582242,USAHA MEMBUAT MAKANAN JADI <SETIA> <SETIA>,13582242,Tab form baru terdeteksi (event page).,
20251210_103812,39,OK,FINAL_SKIP,13582242,USAHA MEMBUAT MAKANAN JADI <SETIA> <SETIA>,13582242,CODE:FINAL_ALREADY_SUBMITTED Dilewati: form sudah final (tombol Cancel Submit terlihat).,
20251210_103822,40,OK,OPEN_TAB,12620763,"""PENCUCIAN MOBIL MOTOR, RIZQ DOSMERING <ASWAN,S.Pi>""",12620763,Tab form baru terdeteksi (event page).,
20251210_103822,40,OK,FINAL_SKIP,12620763,"""PENCUCIAN MOBIL MOTOR, RIZQ DOSMERING <ASWAN,S.Pi>""",12620763,CODE:FINAL_ALREADY_SUBMITTED Dilewati: form sudah final (tombol Cancel Submit terlihat).,
