ts,row_index,level,stage,idsbr,nama,match_value,note,screenshot
20251210_165040,120,OK,OPEN_TAB,13820211,INDUSTRI PENGOLAHAN KOPRA <RIDWAN> <RIDWAN.S.PD>,13820211,Tab form baru terdeteksi (event page).,
20251210_165040,120,OK,FINAL_SKIP,13820211,INDUSTRI PENGOLAHAN KOPRA <RIDWAN> <RIDWAN.S.PD>,13820211,CODE:FINAL_ALREADY_SUBMITTED Dilewati: form sudah final (tombol Cancel Submit terlihat).,
20251210_165048,121,OK,OPEN_TAB,14380026,JUAL BELI IKAN <DEWI ASTUTI> <DEWI ASTUTI>,14380026,Tab form baru terdeteksi (event page).,
20251210_165107,121,OK,FILL,14380026,JUAL BELI IKAN <DEWI ASTUTI> <DEWI ASTUTI>,14380026,"Form terisi (update=9, skip=9)",
20251210_165112,121,OK,SUBMIT,14380026,JUAL BELI IKAN <DEWI ASTUTI> <DEWI ASTUTI>,14380026,Submit final sukses,
20251210_165113,121,OK,ROW_DONE,14380026,JUAL BELI IKAN <DEWI ASTUTI> <DEWI ASTUTI>,14380026,Baris selesai diproses,
20251210_165120,122,OK,OPEN_TAB,16738581,APOTIK WINA FARMA <WINA>,16738581,Tab form baru terdeteksi (event page).,
20251210_165139,122,OK,FILL,16738581,APOTIK WINA FARMA <WINA>,16738581,"Form terisi (update=9, skip=9)",
20251210_165144,122,OK,SUBMIT,16738581,APOTIK WINA FARMA <WINA>,16738581,Submit final sukses,
20251210_165145,122,OK,ROW_DONE,16738581,APOTIK WINA FARMA <WINA>,16738581,Baris selesai diproses,
20251210_165151,123,OK,OPEN_TAB,13496132,INDUSTRI PENGOLAHAN KOPRA <ALI MARDAK> <ALI MARDAK>,13496132,Tab form baru terdeteksi (event page).,
20251210_165211,123,OK,FILL,13496132,INDUSTRI PENGOLAHAN KOPRA <ALI MARDAK> <ALI MARDAK>,13496132,"Form terisi (update=9, skip=9)",
20251210_165215,123,OK,SUBMIT,13496132,INDUSTRI PENGOLAHAN KOPRA <ALI MARDAK> <ALI MARDAK>,13496132,Submit final sukses,
20251210_165216,123,OK,ROW_DONE,13496132,INDUSTRI PENGOLAHAN KOPRA <ALI MARDAK> <ALI MARDAK>,13496132,Baris selesai diproses,
20251210_165223,124,OK,OPEN_TAB,13513482,USAHA MEMBUAT PISANG IJO <ENI ENDRIANI> <ENI ENDRIANI>,13513482,Tab form baru terdeteksi (event page).,
20251210_165242,124,OK,FILL,13513482,USAHA MEMBUAT PISANG IJO <ENI ENDRIANI> <ENI ENDRIANI>,13513482,"Form terisi (update=9, skip=9)",
20251210_165247,124,OK,SUBMIT,13513482,USAHA MEMBUAT PISANG IJO <ENI ENDRIANI> <ENI ENDRIANI>,13513482,Submit final sukses,
20251210_165248,124,OK,ROW_DONE,13513482,USAHA MEMBUAT PISANG IJO <ENI ENDRIANI> <ENI ENDRIANI>,13513482,Baris selesai diproses,
20251210_165255,125,OK,OPEN_TAB,15245835,JUAL BELI IKAN <TITIE NUR> <TITIE NUR>,15245835,Tab form baru terdeteksi (event page).,
20251210_165315,125,OK,FILL,15245835,JUAL BELI IKAN <TITIE NUR> <TITIE NUR>,15245835,"Form terisi (update=9, skip=9)",
20251210_165319,125,OK,SUBMIT,15245835,JUAL BELI IKAN <TITIE NUR> <TITIE NUR>,15245835,Submit final sukses,
20251210_165320,125,OK,ROW_DONE,15245835,JUAL BELI IKAN <TITIE NUR> <TITIE NUR>,15245835,Baris selesai diproses,
