ts,row_index,level,stage,idsbr,nama,match_value,note,screenshot
20251210_153702,60,OK,OPEN_TAB,12584066,KIOS PULSA HP <TIWI> <TIWI SUHARTATI>,12584066,Tab form baru terdeteksi (event page).,
20251210_153702,60,OK,FINAL_SKIP,12584066,KIOS PULSA HP <TIWI> <TIWI SUHARTATI>,12584066,CODE:FINAL_ALREADY_SUBMITTED Dilewati: form sudah final (tombol Cancel Submit terlihat).,
20251210_153710,61,OK,OPEN_TAB,15471183,INDUSTRI PENGOLAHAN KOPRA <SAHRIDIN> <SAHRIDIN>,15471183,Tab form baru terdeteksi (event page).,
20251210_153729,61,OK,FILL,15471183,INDUSTRI PENGOLAHAN KOPRA <SAHRIDIN> <SAHRIDIN>,15471183,"Form terisi (update=9, skip=9)",
20251210_153734,61,OK,SUBMIT,15471183,INDUSTRI PENGOLAHAN KOPRA <SAHRIDIN> <SAHRIDIN>,15471183,Submit final sukses,
20251210_153735,61,OK,ROW_DONE,15471183,INDUSTRI PENGOLAHAN KOPRA <SAHRIDIN> <SAHRIDIN>,15471183,Baris selesai diproses,
20251210_153742,62,OK,OPEN_TAB,15473769,USAHA SEMBAKO <HAIN JAYA LABELETE> <NELI ERMAWATI>,15473769,Tab form baru terdeteksi (event page).,
20251210_153801,62,OK,FILL,15473769,USAHA SEMBAKO <HAIN JAYA LABELETE> <NELI ERMAWATI>,15473769,"Form terisi (update=9, skip=9)",
20251210_153808,62,OK,SUBMIT,15473769,USAHA SEMBAKO <HAIN JAYA LABELETE> <NELI ERMAWATI>,15473769,Submit final sukses,
20251210_153809,62,OK,ROW_DONE,15473769,USAHA SEMBAKO <HAIN JAYA LABELETE> <NELI ERMAWATI>,15473769,Baris selesai diproses,
20251210_153817,63,OK,OPEN_TAB,14224435,KEPALA TUKANG BANGUNAN PERUMAHAN <I GUSTI NGURAH PRIANA RANTAUAN>,14224435,Tab form baru terdeteksi (event page).,
20251210_153836,63,OK,FILL,14224435,KEPALA TUKANG BANGUNAN PERUMAHAN <I GUSTI NGURAH PRIANA RANTAUAN>,14224435,"Form terisi (update=9, skip=9)",
20251210_153843,63,OK,SUBMIT,14224435,KEPALA TUKANG BANGUNAN PERUMAHAN <I GUSTI NGURAH PRIANA RANTAUAN>,14224435,Submit final sukses,
20251210_153844,63,OK,ROW_DONE,14224435,KEPALA TUKANG BANGUNAN PERUMAHAN <I GUSTI NGURAH PRIANA RANTAUAN>,14224435,Baris selesai diproses,
20251210_153851,64,OK,OPEN_TAB,14769882,"""PERDAGANGAN ECERAN ALAT PERTANIAN,TIKA JAYA <LUDIN>""",14769882,Tab form baru terdeteksi (event page).,
20251210_153912,64,OK,FILL,14769882,"""PERDAGANGAN ECERAN ALAT PERTANIAN,TIKA JAYA <LUDIN>""",14769882,"Form terisi (update=9, skip=9)",
20251210_153919,64,OK,SUBMIT,14769882,"""PERDAGANGAN ECERAN ALAT PERTANIAN,TIKA JAYA <LUDIN>""",14769882,Submit final sukses,
20251210_153920,64,OK,ROW_DONE,14769882,"""PERDAGANGAN ECERAN ALAT PERTANIAN,TIKA JAYA <LUDIN>""",14769882,Baris selesai diproses,
20251210_153927,65,OK,OPEN_TAB,15312563,PERDAGANGAN ECERAN SEMBAKO <ALTINA> <ALTINA>,15312563,Tab form baru terdeteksi (event page).,
20251210_153948,65,OK,FILL,15312563,PERDAGANGAN ECERAN SEMBAKO <ALTINA> <ALTINA>,15312563,"Form terisi (update=9, skip=9)",
20251210_153955,65,OK,SUBMIT,15312563,PERDAGANGAN ECERAN SEMBAKO <ALTINA> <ALTINA>,15312563,Submit final sukses,
20251210_153956,65,OK,ROW_DONE,15312563,PERDAGANGAN ECERAN SEMBAKO <ALTINA> <ALTINA>,15312563,Baris selesai diproses,
20251210_154003,66,OK,OPEN_TAB,12690313,"""JUAL BELI HASIL BUMI, ATUR DAMAI <JUMIANTO>""",12690313,Tab form baru terdeteksi (event page).,
20251210_154022,66,OK,FILL,12690313,"""JUAL BELI HASIL BUMI, ATUR DAMAI <JUMIANTO>""",12690313,"Form terisi (update=9, skip=9)",
20251210_154028,66,OK,SUBMIT,12690313,"""JUAL BELI HASIL BUMI, ATUR DAMAI <JUMIANTO>""",12690313,Submit final sukses,
20251210_154029,66,OK,ROW_DONE,12690313,"""JUAL BELI HASIL BUMI, ATUR DAMAI <JUMIANTO>""",12690313,Baris selesai diproses,
20251210_154038,67,OK,OPEN_TAB,15028481,INDUSTRI PENGOLAHAN KOPRA <LUDIN> <LUDIN>,15028481,Tab form baru terdeteksi (event page).,
20251210_154059,67,OK,FILL,15028481,INDUSTRI PENGOLAHAN KOPRA <LUDIN> <LUDIN>,15028481,"Form terisi (update=9, skip=9)",
20251210_154106,67,OK,SUBMIT,15028481,INDUSTRI PENGOLAHAN KOPRA <LUDIN> <LUDIN>,15028481,Submit final sukses,
20251210_154107,67,OK,ROW_DONE,15028481,INDUSTRI PENGOLAHAN KOPRA <LUDIN> <LUDIN>,15028481,Baris selesai diproses,
20251210_154115,68,OK,OPEN_TAB,12599552,PERDAGANGAN ECERAN PAKAIAN JADI <YETIK> <YETIK MUNAWAROH>,12599552,Tab form baru terdeteksi (event page).,
20251210_154135,68,OK,FILL,12599552,PERDAGANGAN ECERAN PAKAIAN JADI <YETIK> <YETIK MUNAWAROH>,12599552,"Form terisi (update=9, skip=9)",
20251210_154141,68,OK,SUBMIT,12599552,PERDAGANGAN ECERAN PAKAIAN JADI <YETIK> <YETIK MUNAWAROH>,12599552,Submit final sukses,
20251210_154142,68,OK,ROW_DONE,12599552,PERDAGANGAN ECERAN PAKAIAN JADI <YETIK> <YETIK MUNAWAROH>,12599552,Baris selesai diproses,
20251210_154151,69,OK,OPEN_TAB,12599549,AGEN BRILINK <YETIK MUNAWAROH> <YETIK MUNAWAROH>,12599549,Tab form baru terdeteksi (event page).,
20251210_154212,69,OK,FILL,12599549,AGEN BRILINK <YETIK MUNAWAROH> <YETIK MUNAWAROH>,12599549,"Form terisi (update=9, skip=9)",
20251210_154219,69,OK,SUBMIT,12599549,AGEN BRILINK <YETIK MUNAWAROH> <YETIK MUNAWAROH>,12599549,Submit final sukses,
